               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.012319,            0.022907,                   0,             0.99959,                   1,               0.995,             0.80117,            0.014541,           0.0065135,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.011588,            0.021979,                   0,             0.99491,                   1,               0.995,             0.80416,             0.01486,           0.0065373,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.011225,            0.021035,                   0,                   1,             0.99622,               0.995,             0.81786,            0.014171,           0.0064297,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.011117,            0.021132,                   0,             0.99938,                   1,               0.995,             0.79991,            0.014736,           0.0065819,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.010952,            0.021633,                   0,             0.99918,                   1,               0.995,             0.80041,             0.01474,            0.006413,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.010843,            0.021015,                   0,             0.99907,                   1,               0.995,             0.81677,            0.014144,           0.0064168,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.010492,            0.020448,                   0,                   1,             0.99767,               0.995,             0.79899,            0.014547,           0.0063227,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.010311,            0.020447,                   0,             0.99967,                   1,               0.995,             0.81296,            0.014692,           0.0064104,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.010335,            0.021311,                   0,             0.99848,                   1,               0.995,             0.82578,            0.013905,           0.0062713,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.010011,            0.020476,                   0,              0.9968,                   1,               0.995,             0.81824,            0.014129,           0.0063092,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.010106,            0.019863,                   0,             0.99761,                   1,               0.995,             0.81846,            0.014075,            0.006319,                   0,            0.000496,            0.000496,            0.000496
